UserId,ClassId,Primary,BeginDate,EndDate
1,1,0,2018-09-01 00:00,2019-01-01 00:00
4,1,0,2019-01-15 00:00,2019-06-30 00:00
7,1,0,2019-01-15 00:00,2019-06-30 00:00
10,1,0,2018-09-01 00:00,2019-01-01 00:00
13,1,0,2018-09-01 00:00,2019-01-01 00:00
16,1,0,2019-01-15 00:00,2019-06-30 00:00
19,1,0,2019-01-15 00:00,2019-06-30 00:00
25,1,0,2018-09-01 00:00,2019-01-01 00:00
31,1,0,2019-01-15 00:00,2019-06-30 00:00
37,1,0,2018-09-01 00:00,2019-01-01 00:00
43,1,0,2019-01-15 00:00,2019-06-30 00:00
49,1,0,2018-09-01 00:00,2019-01-01 00:00
55,1,0,2019-01-15 00:00,2019-06-30 00:00
61,1,0,2018-09-01 00:00,2019-01-01 00:00
2,2,0,2018-09-01 00:00,2019-01-01 00:00
5,2,0,2018-09-01 00:00,2019-01-01 00:00
8,2,0,2019-01-15 00:00,2019-06-30 00:00
11,2,0,2019-01-15 00:00,2019-06-30 00:00
14,2,0,2018-09-01 00:00,2019-01-01 00:00
17,2,0,2018-09-01 00:00,2019-01-01 00:00
20,2,0,2019-01-15 00:00,2019-06-30 00:00
23,2,0,2019-01-15 00:00,2019-06-30 00:00
29,2,0,2018-09-01 00:00,2019-01-01 00:00
35,2,0,2019-01-15 00:00,2019-06-30 00:00
41,2,0,2018-09-01 00:00,2019-01-01 00:00
47,2,0,2019-01-15 00:00,2019-06-30 00:00
53,2,0,2018-09-01 00:00,2019-01-01 00:00
59,2,0,2019-01-15 00:00,2019-06-30 00:00
2,3,0,2018-09-01 00:00,2019-01-01 00:00
5,3,0,2018-09-01 00:00,2019-01-01 00:00
8,3,0,2019-01-15 00:00,2019-06-30 00:00
11,3,0,2019-01-15 00:00,2019-06-30 00:00
14,3,0,2018-09-01 00:00,2019-01-01 00:00
17,3,0,2018-09-01 00:00,2019-01-01 00:00
20,3,0,2019-01-15 00:00,2019-06-30 00:00
23,3,0,2019-01-15 00:00,2019-06-30 00:00
29,3,0,2018-09-01 00:00,2019-01-01 00:00
35,3,0,2019-01-15 00:00,2019-06-30 00:00
41,3,0,2018-09-01 00:00,2019-01-01 00:00
47,3,0,2019-01-15 00:00,2019-06-30 00:00
53,3,0,2018-09-01 00:00,2019-01-01 00:00
59,3,0,2019-01-15 00:00,2019-06-30 00:00
3,4,0,2019-01-15 00:00,2019-06-30 00:00
6,4,0,2018-09-01 00:00,2019-01-01 00:00
9,4,0,2018-09-01 00:00,2019-01-01 00:00
12,4,0,2019-01-15 00:00,2019-06-30 00:00
15,4,0,2019-01-15 00:00,2019-06-30 00:00
18,4,0,2018-09-01 00:00,2019-01-01 00:00
21,4,0,2018-09-01 00:00,2019-01-01 00:00
27,4,0,2019-01-15 00:00,2019-06-30 00:00
33,4,0,2018-09-01 00:00,2019-01-01 00:00
39,4,0,2019-01-15 00:00,2019-06-30 00:00
45,4,0,2018-09-01 00:00,2019-01-01 00:00
51,4,0,2019-01-15 00:00,2019-06-30 00:00
57,4,0,2018-09-01 00:00,2019-01-01 00:00
63,4,0,2019-01-15 00:00,2019-06-30 00:00
3,5,0,2019-01-15 00:00,2019-06-30 00:00
6,5,0,2018-09-01 00:00,2019-01-01 00:00
9,5,0,2018-09-01 00:00,2019-01-01 00:00
12,5,0,2019-01-15 00:00,2019-06-30 00:00
15,5,0,2019-01-15 00:00,2019-06-30 00:00
18,5,0,2018-09-01 00:00,2019-01-01 00:00
21,5,0,2018-09-01 00:00,2019-01-01 00:00
27,5,0,2019-01-15 00:00,2019-06-30 00:00
33,5,0,2018-09-01 00:00,2019-01-01 00:00
39,5,0,2019-01-15 00:00,2019-06-30 00:00
45,5,0,2018-09-01 00:00,2019-01-01 00:00
51,5,0,2019-01-15 00:00,2019-06-30 00:00
57,5,0,2018-09-01 00:00,2019-01-01 00:00
63,5,0,2019-01-15 00:00,2019-06-30 00:00
2,6,0,2018-09-01 00:00,2019-01-01 00:00
5,6,0,2018-09-01 00:00,2019-01-01 00:00
8,6,0,2019-01-15 00:00,2019-06-30 00:00
11,6,0,2019-01-15 00:00,2019-06-30 00:00
14,6,0,2018-09-01 00:00,2019-01-01 00:00
17,6,0,2018-09-01 00:00,2019-01-01 00:00
20,6,0,2019-01-15 00:00,2019-06-30 00:00
23,6,0,2019-01-15 00:00,2019-06-30 00:00
29,6,0,2018-09-01 00:00,2019-01-01 00:00
35,6,0,2019-01-15 00:00,2019-06-30 00:00
41,6,0,2018-09-01 00:00,2019-01-01 00:00
47,6,0,2019-01-15 00:00,2019-06-30 00:00
53,6,0,2018-09-01 00:00,2019-01-01 00:00
59,6,0,2019-01-15 00:00,2019-06-30 00:00
3,7,0,2019-01-15 00:00,2019-06-30 00:00
6,7,0,2018-09-01 00:00,2019-01-01 00:00
9,7,0,2018-09-01 00:00,2019-01-01 00:00
12,7,0,2019-01-15 00:00,2019-06-30 00:00
15,7,0,2019-01-15 00:00,2019-06-30 00:00
18,7,0,2018-09-01 00:00,2019-01-01 00:00
21,7,0,2018-09-01 00:00,2019-01-01 00:00
27,7,0,2019-01-15 00:00,2019-06-30 00:00
33,7,0,2018-09-01 00:00,2019-01-01 00:00
39,7,0,2019-01-15 00:00,2019-06-30 00:00
45,7,0,2018-09-01 00:00,2019-01-01 00:00
51,7,0,2019-01-15 00:00,2019-06-30 00:00
57,7,0,2018-09-01 00:00,2019-01-01 00:00
63,7,0,2019-01-15 00:00,2019-06-30 00:00
2,8,0,2018-09-01 00:00,2019-01-01 00:00
5,8,0,2018-09-01 00:00,2019-01-01 00:00
8,8,0,2019-01-15 00:00,2019-06-30 00:00
11,8,0,2019-01-15 00:00,2019-06-30 00:00
14,8,0,2018-09-01 00:00,2019-01-01 00:00
17,8,0,2018-09-01 00:00,2019-01-01 00:00
20,8,0,2019-01-15 00:00,2019-06-30 00:00
23,8,0,2019-01-15 00:00,2019-06-30 00:00
29,8,0,2018-09-01 00:00,2019-01-01 00:00
35,8,0,2019-01-15 00:00,2019-06-30 00:00
41,8,0,2018-09-01 00:00,2019-01-01 00:00
47,8,0,2019-01-15 00:00,2019-06-30 00:00
53,8,0,2018-09-01 00:00,2019-01-01 00:00
59,8,0,2019-01-15 00:00,2019-06-30 00:00
3,9,0,2019-01-15 00:00,2019-06-30 00:00
6,9,0,2018-09-01 00:00,2019-01-01 00:00
9,9,0,2018-09-01 00:00,2019-01-01 00:00
12,9,0,2019-01-15 00:00,2019-06-30 00:00
15,9,0,2019-01-15 00:00,2019-06-30 00:00
18,9,0,2018-09-01 00:00,2019-01-01 00:00
21,9,0,2018-09-01 00:00,2019-01-01 00:00
